fill	x	y	clickSelects	group	xmin	xmax	ymin	ymax
#838383	66	2	66 2	647	65.5	66.5	1.5	2.5
#C6C6C6	68	4	68 4	670	67.5	68.5	3.5	4.5
#FEFEFE	71	7	71 7	714	70.5	71.5	6.5	7.5
#F3F3F3	69	5	69 5	682	68.5	69.5	4.5	5.5
#B4B4B4	65	0	65 0	633	64.5	65.5	-0.5	0.5
#3D3D3D	66	1	66 1	645	65.5	66.5	0.5	1.5
#313131	67	2	67 2	657	66.5	67.5	1.5	2.5
#707070	68	3	68 3	669	67.5	68.5	2.5	3.5
#6A6A6A	69	4	69 4	681	68.5	69.5	3.5	4.5
#FDFDFD	70	5	70 5	701	69.5	70.5	4.5	5.5
#FEFEFE	71	6	71 6	713	70.5	71.5	5.5	6.5
#D4D4D4	66	0	66 0	644	65.5	66.5	-0.5	0.5
#949494	67	1	67 1	655	66.5	67.5	0.5	1.5
#D6D6D6	68	2	68 2	668	67.5	68.5	1.5	2.5
#D9D9D9	69	3	69 3	680	68.5	69.5	2.5	3.5
#FFFFFF	73	8	73 8	737	72.5	73.5	7.5	8.5
#FEFEFE	74	8	74 8	748	73.5	74.5	7.5	8.5
#FFFFFF	73	7	73 7	736	72.5	73.5	6.5	7.5
#C8C8C8	70	4	70 4	700	69.5	70.5	3.5	4.5
#FFFFFF	71	5	71 5	712	70.5	71.5	4.5	5.5
#FFFFFF	74	9	74 9	749	73.5	74.5	8.5	9.5
#CFCFCF	67	0	67 0	654	66.5	67.5	-0.5	0.5
#E6E6E6	68	1	68 1	666	67.5	68.5	0.5	1.5
#FBFBFB	69	2	69 2	679	68.5	69.5	1.5	2.5
#9C9C9C	70	3	70 3	699	69.5	70.5	2.5	3.5
#FFFFFF	74	7	74 7	747	73.5	74.5	6.5	7.5
#FFFFFF	75	8	75 8	759	74.5	75.5	7.5	8.5
#C2C2C2	68	0	68 0	665	67.5	68.5	-0.5	0.5
#F4F4F4	69	1	69 1	677	68.5	69.5	0.5	1.5
#CACACA	70	2	70 2	698	69.5	70.5	1.5	2.5
#BDBDBD	71	3	71 3	710	70.5	71.5	2.5	3.5
#D7D7D7	69	0	69 0	676	68.5	69.5	-0.5	0.5
#929292	70	1	70 1	696	69.5	70.5	0.5	1.5
#838383	71	2	71 2	709	70.5	71.5	1.5	2.5
#FFFFFF	72	4	72 4	722	71.5	72.5	3.5	4.5
#FFFFFF	73	4	73 4	733	72.5	73.5	3.5	4.5
#FEFEFE	72	3	72 3	721	71.5	72.5	2.5	3.5
#DCDCDC	70	0	70 0	695	69.5	70.5	-0.5	0.5
#BABABA	71	1	71 1	707	70.5	71.5	0.5	1.5
#F7F7F7	72	2	72 2	720	71.5	72.5	1.5	2.5
#FFFFFF	73	3	73 3	732	72.5	73.5	2.5	3.5
#E2E2E2	71	0	71 0	706	70.5	71.5	-0.5	0.5
#E2E2E2	72	1	72 1	718	71.5	72.5	0.5	1.5
#FFFFFF	74	3	74 3	743	73.5	74.5	2.5	3.5
#FFFFFF	74	4	74 4	744	73.5	74.5	3.5	4.5
#FDFDFD	73	2	73 2	731	72.5	73.5	1.5	2.5
#E5E5E5	72	0	72 0	717	71.5	72.5	-0.5	0.5
